flight_no,origin,destination,departure,arrival,base_price,bag_price,bags_allowed
SJ461,YOT,IUQ,2021-09-01T00:10:00,2021-09-01T05:25:00,233.0,14,2
QG809,IUQ,GXV,2021-09-01T00:30:00,2021-09-01T01:40:00,17.0,10,2
SJ109,YOT,IUT,2021-09-01T00:35:00,2021-09-01T04:55:00,139.0,14,2
QG767,YOT,LOM,2021-09-01T00:55:00,2021-09-01T06:45:00,357.0,10,2
QG688,YOT,GXV,2021-09-01T01:10:00,2021-09-01T05:15:00,128.0,10,2
SJ093,IUT,GXV,2021-09-01T01:45:00,2021-09-01T02:50:00,25.0,14,1
SJ462,YOT,GXV,2021-09-01T01:50:00,2021-09-01T05:55:00,142.0,14,2
SJ147,IUQ,IUT,2021-09-01T02:10:00,2021-09-01T03:45:00,44.0,14,2
DX840,YOT,LOM,2021-09-01T02:55:00,2021-09-01T08:45:00,354.0,9,2
SJ786,YOT,LOM,2021-09-01T04:35:00,2021-09-01T10:25:00,359.0,14,2
SJ216,IUQ,GXV,2021-09-01T07:30:00,2021-09-01T08:40:00,25.0,14,1
QG809,GXV,IUQ,2021-09-01T07:40:00,2021-09-01T08:50:00,17.0,10,2
DX586,LOM,IUT,2021-09-01T08:40:00,2021-09-01T10:55:00,33.0,9,1
SJ497,LOM,GXV,2021-09-01T08:45:00,2021-09-01T10:30:00,16.0,14,2
SJ147,IUT,IUQ,2021-09-01T08:45:00,2021-09-01T10:20:00,44.0,14,2
SJ093,GXV,IUT,2021-09-01T08:50:00,2021-09-01T09:55:00,25.0,14,1
SJ109,IUT,YOT,2021-09-01T08:55:00,2021-09-01T13:15:00,139.0,14,2
QG688,GXV,YOT,2021-09-01T10:15:00,2021-09-01T14:20:00,128.0,10,2
SJ462,GXV,YOT,2021-09-01T10:55:00,2021-09-01T15:00:00,142.0,14,2
SJ461,IUQ,YOT,2021-09-01T11:25:00,2021-09-01T16:40:00,233.0,14,2
DX840,LOM,YOT,2021-09-01T11:45:00,2021-09-01T17:35:00,354.0,9,2
QG112,YOT,IUQ,2021-09-01T12:20:00,2021-09-01T17:35:00,238.0,10,2
SJ216,GXV,IUQ,2021-09-01T12:40:00,2021-09-01T13:50:00,25.0,14,1
QG767,LOM,YOT,2021-09-01T12:45:00,2021-09-01T18:35:00,357.0,10,2
DX390,YOT,GXV,2021-09-01T13:10:00,2021-09-01T17:15:00,133.0,9,2
SJ497,GXV,LOM,2021-09-01T14:30:00,2021-09-01T16:15:00,16.0,14,2
QG613,LOM,IUT,2021-09-01T15:25:00,2021-09-01T17:40:00,24.0,10,1
SJ786,LOM,YOT,2021-09-01T15:25:00,2021-09-01T21:15:00,359.0,14,2
DX586,IUT,LOM,2021-09-01T16:55:00,2021-09-01T19:10:00,33.0,9,1
DX288,YOT,IUT,2021-09-01T17:35:00,2021-09-01T21:55:00,160.0,9,2
QG339,YOT,IUT,2021-09-01T18:25:00,2021-09-01T22:45:00,137.0,10,2
DX614,IUT,GXV,2021-09-01T18:45:00,2021-09-01T19:50:00,26.0,9,1
DX390,GXV,YOT,2021-09-01T19:15:00,2021-09-01T23:20:00,133.0,9,2
DX815,IUQ,IUT,2021-09-01T19:35:00,2021-09-01T21:10:00,34.0,9,1
QG112,IUQ,YOT,2021-09-01T20:35:00,2021-09-02T01:50:00,238.0,10,2
QG613,IUT,LOM,2021-09-01T21:40:00,2021-09-01T23:55:00,24.0,10,1
SJ609,LOM,IUT,2021-09-01T22:35:00,2021-09-02T00:50:00,48.0,14,2
DX418,YOT,IUQ,2021-09-01T23:05:00,2021-09-02T04:20:00,245.0,9,2
DX288,IUT,YOT,2021-09-01T23:55:00,2021-09-02T04:15:00,160.0,9,2
DX815,IUT,IUQ,2021-09-02T00:10:00,2021-09-02T01:45:00,34.0,9,1
QG767,YOT,LOM,2021-09-02T00:55:00,2021-09-02T06:45:00,357.0,10,2
SJ093,IUT,GXV,2021-09-02T01:45:00,2021-09-02T02:50:00,25.0,14,1
DX614,GXV,IUT,2021-09-02T01:50:00,2021-09-02T02:55:00,26.0,9,1
SJ147,IUQ,IUT,2021-09-02T02:10:00,2021-09-02T03:45:00,44.0,14,2
QG339,IUT,YOT,2021-09-02T02:45:00,2021-09-02T07:05:00,137.0,10,2
SJ609,IUT,LOM,2021-09-02T03:50:00,2021-09-02T06:05:00,48.0,14,2
DX491,LOM,GXV,2021-09-02T06:10:00,2021-09-02T07:55:00,12.0,9,1
DX418,IUQ,YOT,2021-09-02T07:20:00,2021-09-02T12:35:00,245.0,9,2
SJ216,IUQ,GXV,2021-09-02T07:30:00,2021-09-02T08:40:00,25.0,14,1
DX586,LOM,IUT,2021-09-02T08:40:00,2021-09-02T10:55:00,33.0,9,1
SJ147,IUT,IUQ,2021-09-02T08:45:00,2021-09-02T10:20:00,44.0,14,2
SJ093,GXV,IUT,2021-09-02T08:50:00,2021-09-02T09:55:00,25.0,14,1
DX491,GXV,LOM,2021-09-02T09:55:00,2021-09-02T11:40:00,12.0,9,1
QG112,YOT,IUQ,2021-09-02T12:20:00,2021-09-02T17:35:00,238.0,10,2
SJ216,GXV,IUQ,2021-09-02T12:40:00,2021-09-02T13:50:00,25.0,14,1
QG767,LOM,YOT,2021-09-02T12:45:00,2021-09-02T18:35:00,357.0,10,2
QG662,LOM,GXV,2021-09-02T15:05:00,2021-09-02T16:50:00,43.0,10,1
QG613,LOM,IUT,2021-09-02T15:25:00,2021-09-02T17:40:00,24.0,10,1
DX586,IUT,LOM,2021-09-02T16:55:00,2021-09-02T19:10:00,33.0,9,1
