flight_no,origin,destination,departure,arrival,base_price,bag_price,bags_allowed
ZH151,WIW,ECV,2021-09-01T07:25:00,2021-09-01T12:35:00,245.0,12,2
ZH665,ECV,RFZ,2021-09-01T12:10:00,2021-09-01T14:40:00,58.0,12,2
ZH151,ECV,WIW,2021-09-01T15:35:00,2021-09-01T20:45:00,245.0,12,2
ZH665,RFZ,ECV,2021-09-01T17:40:00,2021-09-01T20:10:00,58.0,12,2
ZH214,WIW,RFZ,2021-09-01T23:20:00,2021-09-02T03:50:00,168.0,12,2
ZH214,RFZ,WIW,2021-09-02T05:50:00,2021-09-02T10:20:00,168.0,12,2
ZH151,WIW,ECV,2021-09-02T07:25:00,2021-09-02T12:35:00,245.0,12,2
ZH665,ECV,RFZ,2021-09-02T12:10:00,2021-09-02T14:40:00,58.0,12,2
ZH151,ECV,WIW,2021-09-02T15:35:00,2021-09-02T20:45:00,245.0,12,2
ZH665,RFZ,ECV,2021-09-02T17:40:00,2021-09-02T20:10:00,58.0,12,2
ZH214,WIW,RFZ,2021-09-04T23:20:00,2021-09-05T03:50:00,168.0,12,2
ZH214,RFZ,WIW,2021-09-05T05:50:00,2021-09-05T10:20:00,168.0,12,2
ZH665,ECV,RFZ,2021-09-05T12:10:00,2021-09-05T14:40:00,58.0,12,2
ZH665,RFZ,ECV,2021-09-05T17:40:00,2021-09-05T20:10:00,58.0,12,2
ZH151,WIW,ECV,2021-09-06T07:25:00,2021-09-06T12:35:00,245.0,12,2
ZH151,ECV,WIW,2021-09-06T15:35:00,2021-09-06T20:45:00,245.0,12,2
ZH665,ECV,RFZ,2021-09-09T12:10:00,2021-09-09T14:40:00,58.0,12,2
ZH665,RFZ,ECV,2021-09-09T17:40:00,2021-09-09T20:10:00,58.0,12,2
ZH214,WIW,RFZ,2021-09-09T23:20:00,2021-09-10T03:50:00,168.0,12,2
ZH214,RFZ,WIW,2021-09-10T05:50:00,2021-09-10T10:20:00,168.0,12,2
ZH151,WIW,ECV,2021-09-11T07:25:00,2021-09-11T12:35:00,245.0,12,2
ZH151,ECV,WIW,2021-09-11T15:35:00,2021-09-11T20:45:00,245.0,12,2
ZH665,ECV,RFZ,2021-09-15T12:10:00,2021-09-15T14:40:00,58.0,12,2
ZH665,RFZ,ECV,2021-09-15T17:40:00,2021-09-15T20:10:00,58.0,12,2
